,cities,city_number,city name,weather_check,country,date,humidity,lat,lon,wind_speed,clouds
177,mar del plata,3430863,Mar del Plata,23,AR,1587230404,53,-38,-57.56,9.3,0
179,dikson,1507390,Dikson,2.17,RU,1587230608,91,73.51,80.55,8.07,100
180,geraldton,2070998,Geraldton,21,AU,1587230608,83,-28.77,114.6,4.6,90
181,kousseri,2229798,Kousséri,40,CM,1587230608,4,12.08,15.03,5.1,64
182,kargasok,1504382,Kargasok,6.02,RU,1587230608,67,59.06,80.86,5.63,96
183,livingstonia,927856,Livingstonia,17.57,MW,1587230608,59,-10.61,34.11,2.79,98
185,port shepstone,964406,Port Shepstone,21.41,ZA,1587230609,83,-30.74,30.45,5.6,24
186,monkey bay,926308,Monkey Bay,25.19,MW,1587230609,64,-14.07,34.92,8.66,25
187,banning,5326032,Banning,12.78,US,1587230609,93,33.93,-116.88,1.34,53
188,cherskiy,2126199,Cherskiy,-20.53,RU,1587230609,87,68.75,161.3,2.7,39
189,saravan,174726,Saravan,15,AM,1587230609,58,39.72,45.65,3.1,40
190,saint-philippe,935215,Saint-Philippe,25,RE,1587230609,78,-21.36,55.77,10.3,7
191,zhangye,1785036,Zhangye,9.79,CN,1587230399,26,38.93,100.45,1.77,9
192,draguignan,3020850,Draguignan,19,FR,1587230458,63,43.53,6.47,4.6,96
193,kryve ozero,704010,Kryve Ozero,9.88,UA,1587230609,45,47.95,30.35,2.93,42
194,cayenne,3382160,Cayenne,30,GF,1587230589,70,4.93,-52.33,1.5,75
195,birjand,140463,Birjand,13,IR,1587230610,66,32.87,59.22,5.1,20
198,mahebourg,934322,Mahébourg,26.11,MU,1587230610,78,-20.41,57.7,7.2,75
199,mehriz,124274,Mahrīz,20,IR,1587230610,34,31.59,54.43,3.1,75
200,salihorsk,622428,Salihorsk,4.32,BY,1587230610,67,52.79,27.54,3.16,99
201,namibe,3347019,Mossamedes,23.52,AO,1587230610,70,-15.2,12.15,2.52,69
202,akyab,1295765,Sittwe,25.44,MM,1587230610,85,20.15,92.9,2.69,1
203,andenes,3163146,Andenes,5,NO,1587230610,93,69.31,16.12,4.6,77
204,kaduqli,373141,Kaduqli,29.8,SD,1587230610,11,11.02,29.72,0.44,38
205,san quintin,3984997,San Quintín,17.08,MX,1587230611,57,30.48,-115.95,7.51,23
206,vaitape,4033077,Vaitape,28.66,PF,1587230611,70,-16.52,-151.75,3.81,58
208,east london,1006984,East London,22.19,ZA,1587230611,64,-33.02,27.91,8.02,0
209,westport,4845585,Westport,5.56,US,1587230611,80,41.14,-73.36,5.1,90
211,katsuura,2112309,Katsuura,14.44,JP,1587230611,68,35.13,140.3,2.24,4
212,ponta do sol,2264557,Ponta do Sol,19.44,PT,1587230611,45,32.67,-17.1,1.79,6
213,castro,3466704,Castro,21.8,BR,1587230611,38,-24.79,-50.01,2.05,36
214,sharan,495770,Sharan,3.84,RU,1587230612,72,54.82,54,3.42,100
215,buraydah,107304,Buraidah,27,SA,1587230612,32,26.33,43.98,5.1,50
216,hilo,5855927,Hilo,21.11,US,1587230612,73,19.73,-155.09,2.6,1
217,sakata,1853140,Sakata,8.98,JP,1587230612,76,38.92,139.85,6.7,100
218,laguna,5364271,Laguna,15.56,US,1587230401,62,38.42,-121.42,4.1,90
219,qinhuangdao,1797595,Qinhuangdao,12.51,CN,1587230612,52,39.93,119.59,0.82,100
220,lompoc,5367788,Lompoc,14,US,1587230612,71,34.64,-120.46,3.6,90
221,xingyi,1787599,Xingyi,14.79,CN,1587230612,40,24.19,102.82,1.66,1
222,lima,3936456,Lima,23,PE,1587230418,73,-12.04,-77.03,3.6,25
223,imbituba,3461370,Imbituba,25,BR,1587230612,61,-28.24,-48.67,5.7,20
224,bambous virieux,1106677,Bambous Virieux,26.11,MU,1587230612,78,-20.34,57.76,7.2,75
225,bridlington,2654728,Bridlington,9,GB,1587230613,81,54.08,-0.19,5.7,74
227,tocopilla,3869716,Tocopilla,28.84,CL,1587230613,29,-22.09,-70.2,3.37,19
228,ornskoldsvik,2686469,Örnsköldsvik,10,SE,1587230613,39,63.29,18.72,4.1,0
229,san carlos de bariloche,7647007,Bariloche,16,AR,1587230613,51,-41.15,-71.31,10.8,40
230,cabra,2520645,Cabra,23,ES,1587230613,56,37.47,-4.44,3.1,91
231,bafata,2375255,Bafatá,37.44,GW,1587230613,16,12.17,-14.75,2.81,93
232,sitka,5557293,Sitka,4,US,1587230613,100,57.05,-135.33,1.5,90
233,mantua,3174050,Province of Mantua,22.22,IT,1587230613,47,45.17,10.78,0.45,89
234,atuona,4020109,Atuona,27.92,PF,1587230399,79,-9.8,-139.03,6.35,63
235,vanimo,2084442,Vanimo,27.29,PG,1587230613,76,-2.67,141.3,1.24,88
236,kiboga,231550,Kiboga,17.61,UG,1587230614,70,0.92,31.77,0.21,100
237,nenjiang,2035601,Mergen,14.38,CN,1587230614,29,49.18,125.22,9.19,100
238,san cristobal,3628473,San Cristobal,29,VE,1587230335,62,7.77,-72.22,1.5,40
239,lagoa,3372964,Lagoa,17.27,PT,1587230614,85,39.05,-27.98,11.43,93
240,port lincoln,2063036,Port Lincoln,14.72,AU,1587230586,74,-34.73,135.87,2.3,51
242,ankang,1789065,Ankang,8.91,CN,1587230614,74,32.68,109.02,0.24,75
243,kathu,1153035,Kathu,24,TH,1587230614,94,7.92,98.33,1,75
244,moba,7341918,Moba,8.4,CN,1587230614,46,33.23,105.02,0.47,52
245,broome,5110365,Broome,4.44,US,1587230614,74,42.25,-75.83,6.7,90
246,grindavik,3416888,Grindavik,3,IS,1587230615,100,63.84,-22.43,4.1,90
247,iwanai,2129868,Iwanai,6.97,JP,1587230615,83,42.97,140.51,2.11,100
248,yambio,363656,Yambio,21.18,SS,1587230615,75,4.57,28.4,1.7,90
249,beisfjord,3144987,Beisfjord,5,NO,1587230615,86,68.38,17.6,9.8,75
250,longyearbyen,2729907,Longyearbyen,1,SJ,1587230615,69,78.22,15.64,2.6,40
251,mineiros,3457147,Mineiros,22.23,BR,1587230615,68,-17.57,-52.55,1.5,99
252,camopi,3382226,Camopi,31.4,GF,1587230615,59,3.17,-52.32,1.22,62
253,santander,3109718,Santander,16,ES,1587230615,82,43.46,-3.8,2.1,75
254,ambilobe,1082243,Ambilobe,24.35,MG,1587230615,77,-13.2,49.05,2.95,99
255,karratha,6620339,Karratha,28.11,AU,1587230616,64,-20.74,116.85,4.81,80
256,chake chake,160677,Chake Chake,27.29,TZ,1587230616,84,-5.25,39.77,7.89,100
257,porto santo,8010683,Porto Santo,19,PT,1587230616,63,33.07,-16.34,5.7,20
258,barranca,3946820,Barranca,25.13,PE,1587230616,62,-10.75,-77.77,4.45,41
260,beringovskiy,2126710,Beringovskiy,-7.75,RU,1587230616,96,63.05,179.32,8.41,100
261,mirnyy,2019951,Mirny,-11,RU,1587230616,51,62.54,113.96,7,98
263,kahului,5847411,Kahului,21.67,US,1587230441,72,20.89,-156.47,2.1,20
265,hirara,1862505,Hirara,23.31,JP,1587230617,88,24.8,125.28,7.8,98
266,maneadero,3996737,Rodolfo Sánchez Taboada,16.67,MX,1587230617,83,31.72,-116.57,0.89,90
267,wynyard,2142747,Wynyard,13.33,AU,1587230617,90,-41,145.72,0.45,26
268,te anau,2181625,Te Anau,7.2,NZ,1587230617,72,-45.42,167.72,2.56,80
269,olden,3135601,Olden,3.89,NO,1587230617,77,61.84,6.81,0.45,23
270,tarragona,3108287,Tarragona,16.67,ES,1587230578,100,41.13,1.25,3.6,99
271,upernavik,3418910,Upernavik,-3.51,GL,1587230474,89,72.79,-56.15,12.98,100
272,havoysund,779622,Havøysund,2,NO,1587230617,93,71,24.66,6.2,95
273,oktyabrskiy,515879,Oktyabr'skiy,3.9,RU,1587230463,72,54.48,53.47,3.47,100
274,tugdan,1680954,Tugdan,28,PH,1587230617,80,12.31,122.09,7.35,41
275,coari,3664539,Coari,28.54,BR,1587230355,83,-4.08,-63.14,1.24,90
276,ventspils,454310,Ventspils,4,LV,1587230618,78,57.39,21.56,4.6,20
